Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
34	17.01106	2.244542	21.285137	11.388189	201.8	63.999165	385.0	99.0	1000.0	244213.0	0.23258380952380953	1.6237229	0.56683695	2.7886548	-1.3065213	23.159376	10.959309	78.210556	2.1300094	1.2715658e-08	-0.0074918065	0.0	-0.007025903	0.19751337	-0.06650223	126.09787	-46.504738	0	0	2.570895	0.0	1.2184348	0.009432902	1050000	3754.577874660492
35	17.826014	3.2253728	23.69675	12.389613	238.33333	63.220955	389.0	117.0	1000.0	251363.0	0.23274351851851852	1.7873495	0.52206403	2.6491191	-0.5763315	22.162798	10.579451	66.08427	-0.18909177	1.525879e-08	-0.0075553255	-1.13932295e-07	-0.0029490641	0.19270396	-0.043855786	128.37642	-45.19625	0	0	2.6463919	0.0	1.1852424	0.009607123	1080000	3862.3473131656647
36	16.125021	3.4876828	21.406906	7.4934254	233.56667	70.72137	411.0	99.0	1000.0	258370.0	0.23276576576576577	1.7797338	0.58244365	3.0044146	-0.50193995	24.47121	10.801932	66.04676	1.3729633	0.0	-0.008343363	1.6276042e-08	-0.0010809327	0.19470072	-0.05160296	129.95583	-46.379845	0	0	2.4734147	0.0	1.1877835	0.009897768	1110000	3969.6096391677856
37	17.595028	3.7564697	24.966928	7.410686	216.7	69.96483	406.0	87.0	1000.0	264871.0	0.23234298245614035	1.747521	0.5421269	2.75984	-0.28401092	23.9993	11.389568	78.07325	0.10060549	-1.6276042e-08	-0.008604342	2.0345052e-08	0.0022386028	0.2252956	-0.045444086	117.92473	-44.28974	0	0	2.3220952	0.0	1.1906856	0.009711859	1140000	4076.659928560257
38	15.97738	2.6140506	22.199203	11.7810135	200.0	76.3361	385.0	70.0	1000.0	270871.0	0.23151367521367522	1.7522125	0.61954975	2.9528668	-0.6064837	21.582703	11.082781	70.07668	-0.6117284	3.0517577e-09	-0.007878655	1.4648438e-07	-0.010521093	0.17133597	-0.04613827	123.23092	-47.798347	0	0	2.4807694	0.0	1.1668309	0.009712898	1170000	4183.737189769745
39	15.967418	5.3799167	22.10011	-1.6265595	229.3	83.738144	408.0	87.0	1000.0	277750.0	0.23145833333333332	1.6479648	0.550582	2.66774	-0.46250632	21.107029	12.368916	74.19489	-2.2709455	6.1035155e-09	-0.0074323914	1.2207031e-08	0.0036502401	0.24888295	-0.08528614	127.592125	-57.361786	0	0	2.767363	0.0	1.1667962	0.009816613	1200000	4290.928349971771
40	17.420513	2.12728	22.452888	14.268833	231.1	73.71402	397.0	109.0	1000.0	284683.0	0.23144959349593497	1.807533	0.5619134	2.7957585	-0.64884853	23.610489	11.417115	74.81713	-0.491212	-1.0172526e-09	-0.008629564	-5.6966147e-08	0.008293815	0.21027529	-0.057661325	126.5846	-48.1707	0	0	2.344407	0.0	1.1805985	0.0098089995	1230000	4398.3535923957825
41	17.725496	3.4797668	24.2398	11.380857	235.16667	79.013954	469.0	76.0	1000.0	291738.0	0.23153809523809524	1.7758737	0.5397351	2.8363235	-0.40131456	23.750803	11.351628	68.4065	-1.6465772	1.5513102e-08	-0.008761898	8.138021e-08	-0.0070114746	0.21354492	-0.05976641	149.56126	-56.961998	0	0	2.3403993	0.0	1.1669843	0.009972586	1260000	4505.973979234695
42	16.490818	3.0529668	22.868797	10.956635	255.8	68.66557	375.0	100.0	1000.0	299412.0	0.23210232558139535	1.7882679	0.6101554	2.8886137	-0.6101435	24.26746	12.690934	69.66229	-9.200046	8.138021e-09	-0.008086754	-8.138021e-08	-0.002687557	0.18725578	-0.05117643	139.42737	-57.987442	0	0	2.4372647	0.0	1.1776121	0.009498428	1290000	4613.183977127075
43	16.505758	2.7934833	21.317358	8.035951	221.33333	73.86624	338.0	79.0	1000.0	306052.0	0.23185757575757576	1.7286003	0.53252065	2.7195566	-0.28440198	25.362137	11.623039	71.78294	-3.0818114	-4.0690105e-09	-0.008503571	-1.2613933e-07	-0.0056092488	0.16764507	-0.034799546	132.21646	-49.25618	0	0	2.3551066	0.0	1.1445673	0.009724821	1320000	4720.892774105072
44	16.807379	3.3076363	23.310246	10.741455	208.93333	68.80549	371.0	61.0	1000.0	312320.0	0.23134814814814814	1.7146604	0.5292165	2.6846716	-0.38112873	23.386274	11.084498	70.22411	-3.1105218	5.086263e-10	-0.0073986547	-2.4414062e-08	-0.0011276733	0.17131351	-0.03960648	112.188995	-41.814613	0	0	2.6934803	0.0	1.1377199	0.009632227	1350000	4828.08607673645
45	17.280752	3.3571894	22.926645	6.12396	222.9	73.532005	360.0	94.0	1000.0	319007.0	0.2311644927536232	1.7850844	0.5181368	2.8367643	-0.42432043	22.01686	10.717776	78.412926	0.45991677	8.138021e-09	-0.0074007465	4.0690104e-08	-0.006445182	0.1974211	-0.06694572	124.195656	-51.553963	0	0	2.7003608	0.0	1.152169	0.00972241	1380000	4935.382421731949
46	17.980486	2.6414561	25.244839	12.53919	244.06667	83.58585	435.0	71.0	1000.0	326329.0	0.23143900709219858	1.8196026	0.53964335	2.9266827	-0.40123516	23.106995	12.130032	76.68767	-1.5370808	3.5603842e-09	-0.008627251	-1.3834635e-07	0.00072025554	0.18527038	-0.037104413	139.79012	-61.8254	0	0	2.2756617	0.0	1.1587832	0.009830147	1410000	5042.54669046402
47	16.842604	3.0684109	20.842062	6.2062244	222.7	71.52163	347.0	108.0	1000.0	333010.0	0.23125694444444445	1.783851	0.5529786	2.837336	-0.6699764	24.8751	13.228113	76.29708	-10.0656595	-8.138021e-09	-0.0090067	4.8828124e-08	-0.011386255	0.15902126	-0.046221144	120.96219	-52.248436	0	0	2.2306125	0.0	1.1564023	0.009537675	1440000	5149.74841427803
48	17.895199	3.0011246	24.016031	8.856683	215.6	56.455048	338.0	82.0	1000.0	339478.0	0.23093741496598638	1.7895135	0.5234178	2.7795196	-0.6770623	22.99253	12.089004	70.84453	-3.268832	-6.1035155e-09	-0.008060103	-3.2552084e-08	-0.013262736	0.16127552	-0.042961232	106.44245	-39.276062	0	0	2.5074797	0.0	1.1459047	0.009698863	1470000	5257.150115728378
49	17.200768	2.9308765	23.67388	9.87299	256.86667	73.77657	467.0	94.0	1000.0	347184.0	0.231456	1.8248526	0.57642174	3.0758302	-0.5465467	23.527908	11.954474	70.85157	-3.0635886	4.0690105e-09	-0.007794499	-3.2552084e-08	-0.009478874	0.18418321	-0.05281937	134.28961	-61.269547	0	0	2.662022	0.0	1.1367025	0.009868955	1500000	5364.977714538574
50	18.348476	2.5169806	23.754156	14.179859	225.16667	68.589645	370.0	100.0	1000.0	353939.0	0.23133267973856209	1.8603578	0.5391217	3.0770211	-0.49195114	24.570614	11.369628	70.32808	3.3039618	-1.2207031e-08	-0.008787146	6.103516e-08	0.002481482	0.18879169	-0.051534235	113.25757	-44.91678	0	0	2.3404717	0.0	1.125773	0.009989715	1530000	5472.862414121628
51	17.35141	3.6574657	23.476456	7.1648746	220.66667	66.73447	371.0	86.0	1000.0	360559.0	0.2311275641025641	1.8177103	0.5875906	3.102244	-0.44112542	23.035252	11.500962	73.9842	-2.1273134	-1.8310548e-08	-0.007833073	1.6276042e-08	0.0027577637	0.19079639	-0.055551887	118.3263	-49.055946	0	0	2.461231	0.0	1.138471	0.009984112	1560000	5580.321839094162
52	17.100508	3.0181012	24.576834	10.681742	196.86667	75.93977	382.0	50.0	1000.0	366465.0	0.2304811320754717	1.8060032	0.5839692	3.072563	-0.5473682	21.40926	10.688665	70.67864	-3.1038985	4.0690105e-09	-0.008226192	4.8828124e-08	-0.0001901123	0.20117384	-0.057741776	120.68663	-53.187607	0	0	2.4446878	0.0	1.1296334	0.0098883035	1590000	5687.666162729263
53	16.21711	4.7113886	22.867249	3.0468123	228.46666	74.130844	358.0	39.0	1000.0	373319.0	0.23044382716049383	1.7247118	0.57175815	2.851409	-0.6072537	21.419773	11.909582	70.390205	-5.4204116	-1.0172526e-09	-0.008163597	0.0	-0.0012780355	0.24849741	-0.08938725	115.11995	-53.375008	0	0	2.4368668	0.0	1.11823	0.009868136	1620000	5794.969717502594
54	17.396912	3.757745	22.691185	7.690301	232.13333	90.87344	468.0	70.0	1000.0	380283.0	0.23047454545454546	1.7558229	0.5992429	2.9521716	-0.99402785	23.59727	11.922226	72.492065	-2.7336154	1.0172526e-08	-0.007996114	1.159668e-07	-0.008557906	0.2074566	-0.06365237	135.62251	-62.696472	0	0	2.4578474	0.0	1.1085083	0.009609519	1650000	5902.581960201263
55	17.313717	3.4755244	26.262825	9.501627	242.0	87.33155	445.0	74.0	1000.0	387543.0	0.23068035714285715	1.8253623	0.5691947	2.9181528	-0.5528142	24.62783	12.03239	72.52425	0.42399973	-1.1189779e-08	-0.0075766835	-1.6276042e-08	0.013406437	0.17191362	-0.047081307	140.86833	-63.475357	0	0	2.5497277	0.0	1.1102204	0.009714286	1680000	6010.242614507675
56	17.956926	2.8737307	22.833866	11.481499	232.53334	70.42004	383.0	94.0	1000.0	394519.0	0.23071286549707604	1.8341174	0.53638655	3.0752757	-0.45905638	24.637297	11.933465	75.16063	-0.1718978	-1.0172526e-09	-0.008245306	-2.4414062e-08	0.0020871805	0.1813681	-0.044474363	122.95146	-61.588223	0	0	2.369268	0.0	1.0961826	0.009566161	1710000	6117.771660327911
57	18.481054	2.2892797	23.10648	13.546239	238.56667	72.12151	394.0	42.0	1000.0	401676.0	0.23084827586206896	1.9015336	0.51677835	3.0539591	-0.39509344	23.518354	12.125146	74.75639	-1.0885651	1.2207031e-08	-0.00824248	1.3834635e-07	-0.0065131593	0.16286002	-0.04128375	141.79227	-71.74535	0	0	2.5088103	0.0	1.0791364	0.009890285	1740000	6225.378387928009
58	16.34177	3.7279577	21.791548	6.5894127	204.03334	53.16044	349.0	121.0	1000.0	407797.0	0.23039378531073446	1.8332769	0.56136763	3.1129706	-0.70207965	23.422037	11.532617	77.49567	-2.7819316	-1.6276042e-08	-0.0077771544	1.0579427e-07	-0.0009111572	0.22984369	-0.08698614	110.204956	-54.069283	0	0	2.591978	0.0	1.0702493	0.009751263	1770000	6332.420604705811
59	16.724768	3.9824777	22.252523	3.2692614	222.63333	66.51891	404.0	122.0	1000.0	414476.0	0.23026444444444444	1.7226615	0.60738844	3.0095446	-0.779567	21.398827	11.392839	72.9091	-1.9690613	-5.086263e-10	-0.007691767	-8.138021e-09	-0.00011098633	0.2067463	-0.07249349	115.98662	-58.49502	0	0	2.5549033	0.0	1.0561833	0.009860189	1800000	6439.8090789318085
60	17.68982	2.7148674	22.425198	12.770493	234.2	59.206646	407.0	121.0	1000.0	421502.0	0.23032896174863388	1.8055936	0.5343254	2.9429312	-0.44967228	23.675934	12.111061	76.72478	-1.2368492	1.0172526e-08	-0.007973498	6.510417e-08	0.0016876383	0.18148245	-0.052420184	108.74913	-50.85757	0	0	2.5507026	0.0	1.0496337	0.009968845	1830000	6547.395223379135
61	17.85414	2.5839982	23.045818	12.680673	232.83333	57.79509	349.0	119.0	1000.0	428487.0	0.23036935483870968	1.8268919	0.53836346	3.0915892	-0.59162736	23.72257	11.343027	74.445274	1.8959198	-3.0517577e-09	-0.00824383	-5.6966147e-08	-0.0074689616	0.20350179	-0.054973215	111.56875	-50.57575	0	0	2.4169648	0.0	1.0438745	0.009733734	1860000	6655.063649177551
